datasetID,datasetName,nRemoved,nLeftover,Removed ratio
1,JM1,10,11,0.476190476
2,KC3,23,16,0.58974359
3,MC1,17,21,0.447368421
4,MC2,10,29,0.256410256
5,MW1,11,26,0.297297297
6,PC1,11,26,0.297297297
7,PC2,20,16,0.555555556
8,PC3,17,20,0.459459459
9,PC4,14,23,0.378378378
10,PC5,15,23,0.394736842
11,ar1,14,15,0.482758621
12,ar3,17,12,0.586206897
13,ar4,12,17,0.413793103
14,ar5,17,12,0.586206897
15,ar6,17,12,0.586206897
16,cm1,20,17,0.540540541
17,kc2,14,7,0.666666667
18,ant-1.3,3,17,0.15
19,ant-1.4,3,17,0.15
20,ant-1.5,2,18,0.1
21,ant-1.6,2,18,0.1
22,ant-1.7,2,18,0.1
23,arc,5,15,0.25
24,berek,7,13,0.35
25,camel-1.0,3,17,0.15
26,camel-1.2,3,17,0.15
27,camel-1.4,3,17,0.15
28,camel-1.6,3,17,0.15
29,ckjm,FAILED,FAILED,FAILED
30,e-learning,7,13,0.35
31,forrest-0.6,FAILED,FAILED,FAILED
32,forrest-0.7,4,16,0.2
33,forrest-0.8,3,17,0.15
34,intercafe,6,14,0.3
35,ivy-1.1,4,16,0.2
36,ivy-1.4,4,16,0.2
37,ivy-2.0,3,17,0.15
38,jedit-3.2,3,17,0.15
39,jedit-4.0,3,17,0.15
40,jedit-4.1,3,17,0.15
41,jedit-4.2,4,16,0.2
42,jedit-4.3,4,16,0.2
43,kalkulator,7,13,0.35
44,log4j-1.0,3,17,0.15
45,log4j-1.1,2,18,0.1
46,log4j-1.2,3,17,0.15
47,lucene-2.0,2,18,0.1
48,lucene-2.2,2,18,0.1
49,lucene-2.4,3,17,0.15
50,nieruchomosci,5,14,0.263157895
51,pbeans1,7,13,0.35
52,pbeans2,6,14,0.3
53,pdftranslator,6,14,0.3
54,poi-1.5,5,15,0.25
55,poi-2.0,3,17,0.15
56,poi-2.5,2,18,0.1
57,poi-3.0,2,18,0.1
58,prop-1,2,18,0.1
59,prop-2,2,18,0.1
60,prop-3,2,18,0.1
61,prop-4,2,18,0.1
62,prop-5,2,18,0.1
63,prop-6,3,17,0.15
64,redaktor,4,16,0.2
65,serapion,4,16,0.2
66,skarbonka,4,15,0.210526316
68,synapse-1.0,4,16,0.2
69,synapse-1.1,3,17,0.15
70,synapse-1.2,3,17,0.15
71,systemdata,6,13,0.315789474
72,szybkafucha,9,10,0.473684211
73,termoproject,6,14,0.3
74,tomcat,2,17,0.105263158
75,velocity-1.4,3,17,0.15
76,velocity-1.5,3,17,0.15
77,velocity-1.6,3,17,0.15
78,workflow,8,12,0.4
79,wspomaganiepi,2,18,0.1
80,xalan-2.4,3,17,0.15
81,xalan-2.5,3,17,0.15
82,xalan-2.6,3,17,0.15
83,xalan-2.7,2,18,0.1
84,xerces-1.2,4,16,0.2
85,xerces-1.3,4,16,0.2
86,xerces-1.4,2,18,0.1
87,xerces-init,3,17,0.15
88,zuzel,5,12,0.294117647
89,eclipse-2.0,14,18,0.4375
90,eclipse-2.1,14,18,0.4375
91,eclipse-3.0,15,17,0.46875
92,Apache,15,11,0.576923077
93,Safe,16,10,0.615384615
94,Zxing,11,15,0.423076923
95,eclipse34_debug,2,15,0.117647059
96,eclipse34_swt,4,13,0.235294118
97,equinox,5,10,0.333333333
98,jdt,2,13,0.133333333
99,lucene,4,11,0.266666667
100,mylyn,5,10,0.333333333
101,pde,3,12,0.2
